,DOC_ID,LABEL,RATING,VERIFIED_PURCHASE,PRODUCT_CATEGORY,PRODUCT_ID,PRODUCT_TITLE,REVIEW_TITLE,REVIEW_TEXT
281,282,__label1__,4,N,Books,006114844X,And Only to Deceive (Lady Emily),"Romantic, elegant mystery","The premise of And Only to Deceive excited me enough to get a copy the very same day I first heard about it. The idea of a reverse love story, a woman falling in love with the man she married only after his death, married with the mystery/suspense, as well as the Victorian setting appealed to me very much.<br /><br />Alexander portrayed the romantic part of the romantic suspense in an elegant and intelligent manner. Through reading his journals, Emily is astounded to discover that the ordinary aristocrat she thought she had married harbored passionate love for her and was far more interesting than she knew. This made me question Emily's intelligence and powers of observation, though. Was she so self-absorbed that she didn't take the time to get to know the man she was going to spend the rest of her life with? The more she finds out about Phillip, the more regret grows until Emily falls in love with her dead husband and begins to truly mourn him. Rather than letting her heroine lionize Philip, without question, Alexander then begins to poke holes in his character and Emily's idolatry of him. In keeping with Emily's newfound interest in Greek antiquities and Greek literature, there is a long-running discourse throughout the book regarding who is the better hero, Achilles or Hector. Alexander uses this discourse in subtle comparison to Emily's love for her dead husband - the man she never knew and built up in her mind as an incomparable demi-god (like Achilles) with her flawed (but alive) suitors (like Hector, a human who dares battle Achilles, protected by the gods, to protect his kingdom).<br /><br />I liked Alexander's exploration of Emily's liminal role in Victorian society as a widow, neither mother or wife or virgin bride-to-be. She comes to the realization that without a husband, yet with his fortune, she is basically a free woman, able to do as she pleases within or even out of society.<br /><br />Emily's character, however, made no emotional connection with me. Other than being very beautiful, so much so that her dead husband's secret nickname for her was Kallista (the most beautiful) and being an avid reader, she was not very interesting. I could not see why sophisticated Philip fell in love with her; however, Alexander shows that perhaps, like Emily falling in love with the dead Philip, Philip also fell in love with a figment of his own romantic imagination. He didn't know her, but chose her for her beauty, as Paris chose Helen for hers.<br /><br />Emily develops, however, throughout the course of the story. Initially inspired by her husband's interests, she develops interests of her own: Greek antiquities, learning ancient Greek, the epic poems. She also explores her newfound freedom as an independent woman of means.<br /><br />""Dissatisfied, I put down the book, irritated that Philip was not there. I desperately wanted the chance to argue about these things with him. As I sat there, I slowly began to realize that my own opinions were quite different from those of my husband. Until then I had attributed all my interest in classical antiquity to Phillip and had assumed that his own studies would serve as an adequate guide for mine. I no longer felt driven to study as a way to know Phillip. I wanted to study because I loved the poetry, because the beauty of Greek sculpture moved me...""<br /><br />The suspense part of the novel was lackluster and slow-moving. While I liked the discussion of Greek antiquities and details of the Impressionist art movement, I was never gripped with the fervent need to get to the bottom of whodonit. The sequels sound like they're set in some amazing locales; however, I don't believe I will be continuing this series."
288,289,__label1__,3,N,Books,1742205933,The World's Best Street Food: Where to Find it & How to Make it (Lonely Planet Street Food),Made me nauseous,I don't know why but after seeing the images and reading this I felt like I wanted to hurl really bad. It was especially annoying since I just ate some excellent sushi and I was not about to waste a good salmon roll.
296,297,__label1__,4,N,Books,316055433,The Goldfinch: A Novel (Pulitzer Prize for Fiction),Deeply entertaining in a superfluous sort of way,"Perhaps it's because I'm surrounded with a dense miasma of collective pop culture references all day, but I found The Goldfinch quite captivating. It's good to suspend the more intense inclinations of the mind and simply allow it to be submerged in the story. On the other hand, I can understand the disappointment that some might feel if they think that the quality did not meet their expectations."
367,368,__label1__,4,N,Books,1118008189,HTML and CSS: Design and Build Websites,Solid,"A solid effort. Obviously with all of the books like this one, the effort you put in understanding it and how much you work on implementing what you've learned is determining how successful you are gonna be after you're done with it."
388,389,__label1__,3,N,Books,316126691,The Art of Fielding: A Novel,"Eh, its ok",Very interesting material but not a book that really grabbed me. Perhaps its because its not the usual kind of book I read.
399,400,__label1__,4,N,Books,316666343,The Lovely Bones,Touching,"What a wonderful book. Sensitively written about a very sad topic. Yet the author succeeded in not making the book sad, but a wonderful depiction of a family's grief and growth. I can't believe I waited so long to read this. I will definitely read it again."
403,404,__label1__,4,N,Books,989334007,Exposed in Boston,Unusual cast of characters. Fun read.,"I saw Exposed in Boston, face out, at The Harvard Bookstore in Cambridge. Vibrant front cover, interesting premise on back cover. An unusual cast of characters, a little over the top, which is why I liked it as much as I did. A really fun read."
411,412,__label1__,3,N,Books,983624534,Hell,Filthy Language,"The author of ""Hell"" seems to recognize the need for tradition if the Bible is to have any meaning at all. Think how someone entirely unfamiliar with Judaism, Christianity and the Bible would react if he read the Bible without any guidance, for the first time, in a set of unbound pages. He likely wouldn't see in it any order or unity as a book.<br /><br />In ""How to Stop Believing in Hell"" (on the Kindle list) the narrator describes his life and slow release from spiritual terror without reliance on any religion other than the one he is abandoning. He rejects all the usual doctrines: the existence of the will, morality, the infallibility of any book or person, immortality, the existence of the soul, eternity, Heaven, Purgatory, Armageddon, and Divine judgement. Only then does he find the love of his Creator and cease to fear Hell. It's exciting reading and can be found on Kindle's list."
424,425,__label1__,4,N,Books,1934602167,Fatal Sunset: Deadly Vacations,Keep Your Family Safe!,Read this book before you travel. There are lessons to be learned from Fatal Sunset. Very good research and writing and lots of eye-opening examples of how vacations can turn deadly in the blink of an eye.
448,449,__label1__,4,N,Books,871407868,The Last Kind Words Saloon: A Novel,Unfairly underestimated,"I feel that the ratings of this book aren't fair. I mean, yes, it's not the top of the literature but it's a very decent novel and the story is good. I give it four stars."
482,483,__label1__,4,Y,Books,615698859,Thin Places,Well Written,A well written debut novel by an author I hope to see more from.  It's obvious she put much research into her characters and settings.  Her descriptions make you feel like you are there.  The story line is original and engaging.  Great read.
501,502,__label1__,3,N,Books,765342405,Ender's Shadow (The Shadow Series),A pale sequal to Ender's game,"Loved Ender's game. Probably one of the best book's I've read. So when I saw this in a store i thought - great, I could get to read on about Ender and his battles.  However, in order for this book to make some sense, the author had to rework the plot into the plot of Ender's Game, though it was not intented to be in it from the start. For instance, Bean states that during the great battles on Eros, he had to know where every ship was in order to be able to take over if Ender collapsed. However, in Ender's Game, Ender clearly states that the one who had overcontrol over half the fleet was Alai, who was almsot as good as Ender, according to Ender himself. In order to solve this discrepency, the author had Bean state that his performance was reduced because he had to do his part in the battles and also udnerstand the overall strategy, which explains his mediocre performance. In my opinion, this was just the author making excuses.  Not a terrible book, just not a very good one, especially considering how good Ender's Game was. The author would have madea far better job if he had written a book involving Bean five years after the events of Ender's Game, and not relive them from Bean's perspective."
507,508,__label1__,4,N,Books,470621079,The Unofficial Guide to California with Kids (Unofficial Guides),Very helpful,I used this book to take my daughters to trips throughout California. It helped me select the most interesting places. I didn't use the accomodation section as I didn't find it as helpful.
511,512,__label1__,4,N,Books,380810336,Feeling Good: The New Mood Therapy,Good book,"I have begun using many of the techniques discussed in this book to help deal with my anxiety and panic attacks. It has been a huge help! I have also begun doing some meditation, and am slowly working on replacing my Xanax with an OTC supplement. Between these three things, my life has improved 100%. Anyone out there looking for an OTC supplement for anxiety should give ZenRx a try.  Really helpful in conjunction with this book.[[ASIN:B00HBGBRY4 ZenRx - Dietary supplement reduces symptoms of anxiety, stress, depression, and panic attacks. Boost your mood, increase relaxation, and beat your anxiety with Kava kava, 5-htp, Theanine, Gaba, and more. Money Back Guarantee!]]"
566,567,__label1__,4,N,Books,802119824,The Woman Who Lost Her Soul,Decent one,I'm satisfied with this read although I wasn't too impressed with the facts. Surely this isn't a history book but I do feel it's a bit blank on some reliable facts but still a good story.
567,568,__label1__,4,N,Books,B00EGXOPPI,"NBDE (National Board Dental Examination) Review 4,600 Sample Questions, NBDE Part I Review, Windows PCs Only",board exam,This has a lot of practice exams which was enough for me to prepare myself for the exams in less than 3 months. Good overall.
579,580,__label1__,4,N,Books,1492912506,Sochi 2014 Travel Guide: Making the most of your visit to Sochi and the Olympic Games.,good travel guide,"It is a nice little travel guide that helped me to prepare for my trip to Sochi, it is all in English with some useful maps that explain where is what, incl. the olympic venues. I recommend it to anybody who wants to visit Sochi, the region or the 2014 olympics."
605,606,__label1__,4,Y,Books,452298628,The Neatest Little Guide to Stock Market Investing: Fifth Edition,Investor,"This book was easy to read and digest. I would recommend it , if you have some passion for stock market."
611,612,__label1__,4,N,Books,1478700394,A Love Like No Other: Grandmothers Share Experiences with Grandchildren That Have Special Needs,Support and Friendship in a Book,These stories are from the heart - and are like sitting with a cup of tea and chatting with a friend. Touching and supportive.
624,625,__label1__,4,N,Books,307986276,The Fast Metabolism Diet: Eat More Food and Lose More Weight,Good for quick weight loss,For a short term weight loss - yes this is helpful. But what you need is to change the whole food consumption and this book won't really help you with that.
678,679,__label1__,4,N,Books,1414373287,Follow Me: A Call to Die. A Call to Live.,Fantastic,David platt is a bit of a phenomenon in my mind. His books are blockbusters for the christian faith and worth while for any serious believer. I definately recommend this book!
703,704,__label1__,4,N,Books,61711578,The Run (Will Lee),not bad,What is funny about this book that its not to off on what happens behind closed doors when the president campaign comes around every 4 years. Nevertheless I liked the book for what its worth it has some strong points.
728,729,__label1__,4,N,Books,553213466,Anna Karenina (Bantam Classics),Classic,"Such a Russian classic. My second favorite book by a Russian author next to Crime and Punishment. The story, the characters, descriptions of the events, the clothing of that period is incredible."
737,738,__label1__,1,N,Books,1742448402,GIAC Certified Intrusion Analyst Certification (GCIA) Exam Preparation Course in a Book for Passing the GCIA Exam - The How To Pass on Your First Try Certification Study Guide,This book won't help you pass..but may ensure you fail.,GIAC Certified Intrusion Analyst Certification (GCIA) won't help you pass..but may ensure you fail.<br /><br />How so?  Over 50% of the info in this book is not current.<br /><br />So you will study and prep for the wrong questions.
756,757,__label1__,4,N,Books,62024035,Divergent,Great book,When I saw the ad for this movie I was intrigued and then I ran into this book in the book store. Taught by my previous experience that tells me that books are far more better than the movies I read this and it proved out to be true once again. You get so much more from the book.
762,763,__label1__,1,N,Books,098276085X,"The PMP Exam: How to Pass on Your First Try, Fifth Edition","CAMP book , not for PMP",Is it possible that the author meant to write  a CAPM book but by mistake marketed it as a PMP book?  Extremely misleading and full or errors. Questions are awful and have no similarity with real life questions. It is an ok book for the CAPM preparation though.
774,775,__label1__,1,N,Books,446670162,Childproofing Your Dog: A Complete Guide to Preparing Your Dog for the Children in Your Life,Goodness,"Thank goodness I got this from the library instead of shelling out money for it. Unbelievable how backwards the views are. The ""style"" of training is nothing short of animal abuse and was already outdated twenty years ago. There are dozens and dozens of books on positive reinforcement training and babies/kids that leave this book in the dust."
783,784,__label1__,2,N,Books,1490371982,The Prepper's Handbook - Second Edition: A Guide to Surviving on Your Own,"I really need food and water – laugh, laugh","I really don't need food or water. You know why. I'm coming to your house to take it. The only part of the book I focused on was the weapons but guess what. There was very little on weapons and more on all the other stuff. People, gangs and other groups will be your worst nightmare. I suggest you find out real quick who you can and cant trust because I'll come looking fro you. Sorry, well come looking for you."
796,797,__label1__,3,N,Books,146804009X,THE BRAIN That Changes Everything: The Ultimate Guide To Accelerating Your Brain,Grow wise not old,"Time doesn't move by any slower as you get older and we seem to stop using our brain as much as we get older, things turn into habits and not thoughts. This is a dangerous occurrence for the older folks because it can lead to some serious problems, keep your mind fresh and active with this quick guide to helping you sharpen your thinking skills."
835,836,__label1__,3,N,Books,345803485,Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),Fun but dirty,"Hehe. I have to admit that I loved this book. It was poor writing quality, as everybody says. Basically junk food in book form. But it was great! I couldn't put it down and frankly some of the scenes turned me on."
839,840,__label1__,4,N,Books,847840727,Mario Buatta: Fifty Years of American Interior Decoration,Learned some at least,"At the very least, I learned something from this book, even if it isn't the most excellent resource."
861,862,__label1__,1,N,Books,1935639781,Whitman Illuminated: Song of Myself,Bowling for Whitman,"&#34;Stop this day and night with me and you shall possess the origin of all poems,&#34;<br />W.W.<br /><br />I was invited to spend a day with a bearded fellow who quite brimmed over with himself<br /><br />He had read my &#34;Ode to Ash Cans&#34; and was duly impressed, &#34;Call me Walt,&#34; he said<br /><br />Promise me, he did, to reveal where in the universe poems came from<br /><br />About town, he seemed to be a briny sponge, absorbing the all of our surroundings<br /><br />Wait I did patiently to be escorted by this gentlemen to the Literature's Holy Grail<br /><br />Men go to war over words, a novel stimulates not the mind, but the mindless<br /><br />We had made it down the water, a stone's throw from Fulton Ferry<br /><br />On the railing was a beetle and Walt squashed it viciously<br /><br />That is the origin of poems and the yellow Forsythia flowers yonder<br /><br />Are the death of poems and these buildings and people are the in-between poems.<br /><br />Christopher Roberts"
876,877,__label1__,4,N,Books,1449550681,"The Tragic Clowns: An Analysis of the Short Lives of John Belushi, Lenny Bruce, and Chris Farley.",love it,"I've always been fascinated by the relationship between tragedy and comedy, and found this book while researching my own book on the topic. I wasn't particularly well-versed in the ""Adlerian"" method of psychology the author uses to analyze all of these guys, but actually found it to be a fascinating way to approach writing a biography. The book spends a lot of time making connections between early experiences and future behavior, and, definitely made a solid contribution to my research.!!!"
896,897,__label1__,4,N,Books,646323024,The Siege of Khe Sanh 1967-68,Awesome,"If you are looking for a weak attempt of replicating the battlefield of the Siege of Khe Sanh then you have no need to get this book. Instead this novel provides a more vivid captivating and intense depiction of the historical event, a wonderfully written book with exciting screens that will grab the attention of any reader. Hats off to the Author for bringing this book to us."
899,900,__label1__,4,N,Books,099000368X,"Inspire, Motivate, Educate!: 21 Ways to Revolutionize Your Teaching & Create Innovative Lessons","Inspire, Motivate, Educate","I recently started flipping my classroom and purchased the author's &#34;flipping the classroom&#34; book. I gained many great ideas from that book, including different apps and websites that make flipping my Geometry class streamlined. I received an e-mail notification from Amazon that this book was released, so I gave it a try.<br /><br />PROS:<br />-The book was filled with stories that tied into a lesson, idea, or philosophy.<br />-This was not a textbook style book, instead, it was a compilation of 21 stories or ideas.<br />-I feel that the author is very positive towards education and it's just another reminder of why I love what I do.<br />-There were several ideas to help engage my students , encourage them to work to the best of their ability, and be the best that they can be in life.<br /><br />CONS:<br />-I knew that the length of the book prior to ordering, but I wish it was a bit longer.<br />-Unlike the &#34;flipped class&#34; book that the author wrote, this book is not as cohesive and each chapter reads more like a separate book - good and bad. Overall, 4 stars."
908,909,__label1__,2,N,Books,61995045,The Upside of Irrationality: The Unexpected Benefits of Defying Logic,"Better, But Not Excellent","Interesting book. It is better than &#34;Predictably Irrational.&#34; Indeed, people are often irrational, but sometimes what appears to be rational is not. But even in this book, Ariely misses one of the obvious and major reasons people make SEEMINGLY irrational decisions, that are actually quite reasonable and rational from an individual perspective. Our government has increasingly alienated people from individual responsibility and from other citizens, and it has taken the risk out of making decisions.<br /><br />As long as they receive government benefits and hand-outs, most citizens will not look behind the &#34;wizard's curtain.&#34; Nevertheless, modern U.S. Government is unlike any before. Citizens can observe that government is now nothing more than an unsustainable Ponzi scheme. A broad tax base of new taxpayers is needed every year just to pay basic government expenses. Yet, each year, the tax base shrinks (population of taxpayers decreases) and government expenses rise. In the face of this disaster, has government made an all-out effort to cut expenses? Of course not. Government is raising taxes to dangerous and debilitating levels, borrowing huge amounts of money from foreigners, and INCREASING EXPENSES. Obama has quadrupled-down on failure, creating the largest deficit ever. If a private citizen or corporation ran its affairs in this manner, it would be criminally procescuted for fraud.<br /><br />Citizens have internalized the government's ongoing propaganda-of-irresponsibility, and they observe the government's example of irrationality and emotionalism. And now the People are behaving just like their government. This is what government &#34;nudging&#34; has created.<br /><br />For over 60 years now, citizens have been detached from the effects of their negative decisions, whether concerning lifestyle or the effects of bad financial choices. With a constant barrage of government-sponsored propaganda; emotionalism and group-politics have replaced rationality as the bases for decision-making. And modern U.S. government propaganda is the most effective in history, as it employs all the lessons learned and techniques of behavior manipulation from the disciplines of sociology, psychological warfare, and psychology over the past 100 years. There are ongoing propaganda programs promoting and encouraging government provided medical care, unemployment insurance, welfare and social security benefits, free monthly income even for young people, and the chance of filing a lawsuit or getting the government involved when investments go bad. The government conditions citizens to incorrectly believe that correlation is the same as causation; and that appearances and emotional intent are the same as results. The government's goal: promote reliance on government and avoidance of individual responsibility, thought and judgment. Why? To insure ease of public manipulation and the political power of certain groups. Obama oligarch, Cass Sunstein, refers to this conditioning, manipulation and control of citizens as &#34;nudging.&#34;<br /><br />For example, during the recent &#34;subprime mortgage crisis,&#34; which Ariely cites as an example of irrationality, all parties behaved rationally and reasonably, EXCEPT the supposedly rational U.S. Government. Homeowners who could not afford houses knew the government was guaranteeing the loans and, given their minimal down payments, they knew they had little to lose from foreclosure if they could not make payments. Thus, it made perfect sense from their perspective to risk buying homes they could not afford. Similarly, lenders knew the loans were government guaranteed, and the government was threatening lenders with lawsuits and fines if they did not make loans to unqualified buyers, so the lenders knew they had little risk in making imprudent loans. In fact, lenders faced greater risk from government harassment if they did NOT make imprudent loans. Investors in those loans also acted rationally. They understood, correctly, that the government would not allow homeowners, lenders and investors to lose billions or trillions of dollars on a program the government forced on the country. Thus, investors bought loans they knew would probably go into default, because, even if they received no payments from borrowers, the government would rescue financial institutions and investors, which it did. Finally, the only party that did not act rationally was the U.S. government. First, it &#34;incentivized&#34; imprudent economic activity by taking the risk from lenders, borrowers and investors. Then, to make matters much worse, it actually rewarded and has now promoted imprudent financial activity by rescuing all parties to the government created mortgage &#34;crisis.&#34;<br /><br />Over the past 60 years, governments have aggressively promoted irrational risk-taking (which is actually rational for the individual, since he risks nothing), which has spread to all areas of individual human endeavor. Citizens are increasingly losing their good judgment, since the world in which they live is a fiction created by the government, bearing no relation to the real world of finance, economics, and survival based on good decisions. Thus, contrary to Ariely's thesis, the forces of &#34;irrationality&#34; are not hidden. Irrationality is a necessary part of modern government. In fact, many of the programs created by the government have the irrational and exact opposite effect than the one intended. For example, the 1960s &#34;Great Society&#34; and &#34;War on Poverty,&#34; created more poverty. The War on Gun Ownership has resulted in more violence by criminals. The welfare system designed to help families, destroyed families, and created several generations of illegitimate children. Despite billions spent on education; Math, Science and intelligence testing scores are in decline. This is because foolish government bureaucrats and academics have confused correlation with causation. Education does not make people successful. Rather, successful, intelligent people are more likely to finish their education and continue on with their successful lives. It is a waste of money to try to over-educate an unintelligent individual, who should be directed to trade training. Instead, politicians tell us it is preferable students receive diluted, fake degrees. Amazingly, not only does the government not encourage the most intelligent and productive citizens to have children, but instead, the government now subsidizes and promotes the breeding of the least intelligent inhabitants of the country. Incredibly, in many cases, the people receiving these breeding subsidies are not even citizens! There is insufficient space here for a complete list of government irrationalities.<br /><br />It is enough to note that modern government employs techniques similar to the &#34;Cargo Cult&#34; islanders who, by using sympathetic magic, thought that creating the superficial appearances of a system (fake airport and planes), would bring material reward (delivery of cargo). Like modern politicians, the Cargo Cult confused correlation with causation. Citizens have learned the lessons of government irrationality and it has conditioned individual behavior. Many academics and intellectuals, such as Ariely, have lost sight of the fact that human beings are animals that respond in ways that are similar to organisms and other animals. That is, they seek the easiest path to satisfaction of needs and emotions, and avoid effort and thought whenever possible. This is particularly true of individuals subjected to prolonged government propaganda campaigns. Government cannot force one to be successful, but it can set up conditions promoting irrationality and failure, as the U.S. has done. The best antidote to predictable government irrationality is to place individuals back in touch with reality, that is, with the true effects of their decisions. Despite Ariely's faulty analysis, hedoes unwittingly show the many ways in which government directly and indirectly promotes irrationality."
937,938,__label1__,4,N,Books,1499273533,Statistics Topics,Treasured nugget,"A great book for statistics beginners and aficionados. It covers many areas such as probability, data analysis, estimation, testing hypotheses etc. He manages to explain complicated statistical ideas in a entertaining and educational way with relevant real world examples. I have read other statistics books and found this book  to be a small treasured nugget of statistical know-how. I have been able to apply some of the concepts to real world understanding and also data analysis in my own work. I found the book on top ranked statistics book and have recommended it to many of my scientist friends."
961,962,__label1__,4,N,Books,B003JTHRBO,Wasted: A Memoir of Anorexia and Bulimia (P.S.),Wasted,Having not suffered from any eating disorders this book was a real eye opener. It is candid to the point of being a tutorial. It is shocking. I have deep sympathy for the people who go through this mental self abuse. I hope they all find their way clear and realize they are beautiful and perfect whole. This was a well written book that held me to the end.
974,975,__label1__,4,N,Books,61944890,Heart-Shaped Box,nice book,"great book and a catchy title, its really amazing how the author mixed rock and roll with horror and some slender man myths all i can say this is quiet fun to read."
976,977,__label1__,1,N,Books,1612680054,Rich Dad's CASHFLOW Quadrant: Rich Dad's Guide to Financial Freedom,"Unbelievable, people are praising this book when 80% of it is from Rich Dad Poor Dad","No argument that I like Rich Dad Poor Dad. But what Kiyosaki is doing is very unacceptable.<br /><br />He's simply changing the titles of his books and jumbling them inside so you'd think it's original. That's what he did for Cashflow Quadrant, Why We Want You to Be Rich, Financial IQ and other books.<br /><br />Get the Rich Dad Poor Dad Book but please pass on all of his other books. It's a huge waste of time.<br /><br />You've been warned."
987,988,__label1__,4,N,Books,1592575919,"The Complete Idiot's Guide to Cigars, 2nd Edition (Complete Idiot's Guides (Lifestyle Paperback))",Can talk to the boys about cigars now,"Now I can talk to men about cigars which is something I previous had no idea. The only talking i would do was ""can  you put that out sir?""<br /><br />Now I can actually sound like I know something."
990,991,__label1__,4,N,Books,767903579,Falling Leaves: The Memoir of an Unwanted Chinese Daughter,Abusive,"Adeline Yen Mah tells an interesting story of culture, abuse, and commitment. This was a new look for me at Chinese heritage. As a daughter from a wealthy Chinese family, she gives insight into the abuse that knows no economic boundary. She had a cruel Eurasian mother that added a whole new element to the traditional family. Adeline eventually moves from China to England and then to the US while trying to preserve her family ties back home. It was an interesting look at three cultures and how they affect our image of family. It was an interesting read but be prepared for a terribly abusive story."
991,992,__label1__,4,N,Books,1511750731,Dog Obedience: Essential Housetraining and obedience commands your dog has to know - 2nd Edition,well-written and explained!,"I am trying to control my dog who hasn't learned obedience commands is exhausting and often nearly impossible. But teaching him simple commands from this book will make a world of difference and provide a great opportunity for bonding. So thankful for this book that is so much helpful. I have learned to keep in mind that puppies have short attention spans, and it is unreasonable to expect to have your puppy's full attention for a long period of time. Keep your sessions short at first to minimize distractions and maintain your dog's attention, gradually increasing the amount of time spent on training each day."
1000,1001,__label1__,4,Y,Books,913866407,The Tarot of the Witches Book,Helped me out!,I have been a fan of tarot cards for many years and this book helped me learn even more about reading the cards.
