,Unnamed: 0,DOC_ID,LABEL,RATING,VERIFIED_PURCHASE,PRODUCT_CATEGORY,PRODUCT_ID,PRODUCT_TITLE,REVIEW_TITLE,REVIEW_TEXT,DEGREE_0.25,DEGREE_0.50,DEGREE_0.75
15,856,857,__label1__,3,N,Grocery,B002LVACDQ,"Post Grape-Nuts Cereal, 64-Ounce Boxes (Pack of 2)",Grape Nuts,"Grape Nuts are good for you; at least as far as a processed cereal can be good for you, but regular Grape Nuts don't have much flavor. The Grape Nuts are more enjoyable to eat.",682,571,59.0
16,865,866,__label1__,4,N,Grocery,B002GJ9JWS,"PB2 Powdered Peanut Butter,6.5 oz",yum yumm!,"PB2 powdered peanut butter is so sweet,i was introduced to it by my friend  and from then i cant hesitate buying it time to time,its yummy!",681,631,153.0
17,878,879,__label1__,3,N,Grocery,B004I2FGQE,"illy issimo Coffee Drink, Caffe (No Sugar), 6.8-Ounce Cans (Pack of 12)",the only one,"I love this product but I’m the only one who does. Everyone else has a problem with the taste for some reason. Granted, it’s not the usual super sweet variety, but that’s what I wanted in the first place.",682,598,23.0
18,886,887,__label1__,4,Y,Grocery,B00LFSOT3K,"All Natural Stevia Powder - No fillers, Additives or Artificial Ingredients of Any Kind - Highly Concentrated Stevia Extract Sugar Substitute (10g)",Nothing But Stevia,"My husband and I tried All Natural Stevia for the first and are very pleased with it. It has no additives. We did buy a shaker that has very small holes as this Stevia is so fine it doesn't require much to taste it. So many other powders have inulin in them and we understand it is derived from corn which my husband is allergic to, and which may be genetically altered.",682,654,136.0
19,955,956,__label1__,4,N,Grocery,B00480GXY0,"Lotus Foods Heirloom Forbidden Rice, 15-Ounce (Pack of 6)",delicious rice!!,"This brand is absolutely delicious, very fragrant and excellent value for the money. Will buy this over and over.",670,443,46.0
20,985,986,__label1__,3,N,Grocery,B000V6FTT0,"Campbell's Healthy Reqeust Soup on the Go, Chicken & Mini Round Noodles, 10.75 Ounce (Pack of 8)",Pasty noodle mash at the end of serving,"Every time I heated this particular soup in any microwave, the container made a popping sound and popped up off the turning tray, fell over, and spilled out. If you can catch it before it spills over completely, you will find when eating that the noodles all gravitate to the bottom and you are left with a very untasty, pasty noodle mash at the end of the serving.",677,423,4.0
21,996,997,__label1__,4,N,Grocery,B004LWLWDC,"Ella's Kitchen Organic Baby Food, the spinach,rutabaga one, 3.5 Ounce Pouches (Pack of 7)",High quality baby food,"This food is great! My baby has always loved it! Very easy to travel with, easy to warm up, easy to store. It is a little expensive, but you get what you pay in my opinion.",673,548,82.0
22,1018,1019,__label1__,4,N,Grocery,B001G8UC8K,Tootsie Roll Midgees Candy 5 Pound Value Bag 760 Pieces,not bad,"Not bad! It still tastes amazing, though that might be because I'm a huge tootsie roll fan. On the other hand, our local store just stocked up on this and it's much cheaper there too, so I guess I know where I'm getting my supply from now on.",681,636,113.0
23,1083,1084,__label1__,3,N,Grocery,B000EC63PU,"PowerBar Protein Triple Threat 10g, Caramel Peanut Fusion, 1.94-Ounce Bars (Pack of 15)",The texture is not too dense,If evaluated for what it is - an energy bar - this measures up to my expectations. I carry this in my bag for emergency energy when I'm traveling or otherwise unable to get regular food. The flavor and texture are very satisfying and it doesn't leave a metallic aftertaste as some bars do. The texture is not too dense or overly crunchy - just the right balance.,681,588,56.0
24,1120,1121,__label1__,4,N,Grocery,B0027EOTKO,"Kirkland Signature Extra Virgin Olive Oil, 2 Liters (Product of Italy)",eat healthy!,"I love potatoes.<br />I bought olive oil because I always put it to my boiled potatoes.<br />I ate potatoes as a replacement with burgers and fries.<br />Together with olive oil, I always have an awesome meal!",678,553,40.0
25,1180,1181,__label1__,2,N,Grocery,B008MIGHFE,"Health Warrior Chia Bars, Coconut, 13.2-Ounce (Pack of 15)",tasty as crap,Fake reviews. this product taste like crap and is so expensive. But I give it 2 stars because you said its healthy LOL,682,583,32.0
26,1183,1184,__label1__,3,N,Grocery,B008TMIO2M,"Nutella Hazelnut Spread, 26.5oz",The best,"I know that this thing has lots of calories and  adds a lot of extra pounds to my body, but I just cannot stop from eating it. IT's very tasteful and...I don't know to say...it gives me a very rewarding feeling.<br />Unfortunately, it has to suffer during shipment: at some of my orders, the lid was already shredded.",684,672,64.0
27,1192,1193,__label1__,2,N,Grocery,B000OYMGMC,"Tootsie Pops-Variety Pack, 100 Pops, 60 Ounces",i don't like this flavors,"Bought these for the office and they were gone before I knew it. The pops are good as always but I do not like the new flavors. My grandchildren like them but give me the old flavors chocolate, orange, cherry etc.",682,638,102.0
28,1194,1195,__label1__,4,N,Grocery,B001E6EJSS,"Kellogg's Froot Loops Cereal, Marshmallow, 12.6-Ounce Boxes (Pack of 4)",fresh and delicious.,"As always, quick delivery. Securely packaged. This is my 15-year-old granddaughter's favorite cereal, which I was keeping company at their residence while her parents were in Florida. She ran out of her cereals and we both don't drive, so I ordered from here, was delivered quickly. She said the cereals were fresh and delicious.",681,562,44.0
29,1199,1200,__label1__,3,N,Grocery,B004N5HKLK,"HERSHEY'S POT OF GOLD Assorted Chocolates Nuts Collection (8.7-Ounce Boxes, Pack of 2)",A terrific taste,"These chocolate nuts drove me crazy. I was eating a box per day. They taste so good and they have an unique flavor. But, lately, I started to diet and reduced the amount of daily chocolate intake. My only complaint is related to the nuts: they are being cut in some very small pieces.",682,647,146.0
30,1205,1206,__label1__,3,N,Grocery,B000MBN5TK,"Chi-Chi's Restaurante Seasoning Mix, 0.78-Ounce Packages (Pack of 24)",I love it..............,"I love seasoning and am disappointed that they does not carry it in their South Texas stores. It is less harsh than many seasonings that I have tried, and everyone who has ""my"" chili complements me on it. Too bad I have to order a whole package of 18 in order to have it.",682,660,152.0
31,1239,1240,__label1__,3,N,Grocery,B000LKYQPO,"Chocolove Chocolate Bar, 55% Dark, 3.2 Ounce (Pack of 12)",I love the 55% dark,"My favorite one is 55% dark. It fulfills my permanent desire of eating sweets and i buy this chocolate bar every day. However, the last ones didn't have thst powerful cocoa flavor. I think I will ""upgrade"" to 65% or even 77%",682,622,66.0
32,1240,1241,__label1__,3,N,Grocery,B000EGZ97Y,"RiceSelect Sushi Rice, 32-Ounce Jars (Pack of 4)",Expensive,"This is great rice, tender when cooked and sticky. But the price is way too expensive. I bought a bigger bag for the nearly same price at the local market. Look around your town for a far more reasonable price.",682,630,26.0
33,1247,1248,__label1__,4,N,Grocery,B000JMAVYO,"Spicy World Almonds Whole (Natural and Raw), 4 Pound",Awesome Product,These Almonds is a healthy snack and a very reasonably priced. Just adequate amount of salt. Super happy with the purchase and will order more.,681,601,156.0
34,1258,1259,__label1__,1,N,Grocery,B0062Q5V32,Oreo Chocolate Sandwich Cookies (14.3-Ounce Package),Simply dreadful,I hated these Oreos. They sucked. They were just sucky Oreos. One of them fell in the milk and now I'm bitter. They were actually really good. Sorry for wasting your time,679,542,31.0
35,1264,1265,__label1__,1,N,Grocery,B00012OHZ6,Welpac Dashi Kombu Dried Seaweed 4 oz,SMALLER SIZE THAN PICTURED,I got a 2 oz version of this instead of the 4 oz. I feel like I was ripped off. But just be careful because the size is not listed on the product page.,675,376,2.0
36,1284,1285,__label1__,4,Y,Grocery,B000FFIL60,"Numi Organic Tea Jasmine Pearls, Green Tea, Loose Flowering Tea Buds, 16 Ounce Bulk Pouch","Good, not great","This is a good Jasmine tea. Not great but good.  Its light as green teas tend to be but the jasmine gives it a soothing aroma and interesting taste.  The only thing is that it does have an odd taste I can't put my finger on. Not that it's bad, it's not at all, just leaves you wondering, ""What is that flavor?"" It's interesting to say the least.  Otherwise, this is an extremely relaxing tea as most Jasmines tend to be.<br /><br />I would have preferred a smaller size to start with but this was the only option, at least on amazon.  I also ordered a higher grade version of jasmine at the same time; [[ASIN:B00HFMON0Y Organic Jasmine Pearls Loose Leaf Green Tea 4 oz. + FREE Blueberry Pomegranate White Tea 2 oz]]  Hhmm, that free blueberry pom was not offered to me in my last order.  Anyway, I steeped this tea for 5 minutes and was just amazed by its fragrance.  I love the amazing floral note from this jasmine, no foreign taste in this one that I cannot put my finger on.  If you can afford it, always go with high grade leaves.",681,593,110.0
37,1289,1290,__label1__,4,N,Grocery,B001E5E0D8,"Lavazza Crema e Gusto - Ground Coffee, 8.8-Ounce Bricks (Pack of 4)",Great coffee,We always keep a box of this in the cupboard for when we have people at our house. It's got a nice coffee flavor without being too bold. It is a nice middle-of-the-road coffee for people that drink coffee a lot and those that don;t drink much at all.,684,657,136.0
38,1302,1303,__label1__,3,N,Grocery,B000EMNKXS,"Coffee-mate French Vanilla Powdered Coffee Creamer, 15-Ounce Packages (Pack of 6)",good,"I find it to be as good as the main brand, the one everyone seems to look up to, and that cost more as well. We like this product very much and we decided to buy enough to last us until 2014, knowing that this product does age well, especially when sealed.",679,538,27.0
39,1322,1323,__label1__,4,N,Grocery,B005K4Q1YA,"Grove Square Cappuccino, French Vanilla, 24 Count Single Serve Cups",grove square,"This is some excellent cappuccino right here, made all the more surprising because it's instant cappuccino.",678,443,7.0
40,1333,1334,__label1__,4,N,Grocery,B000EDG00C,"Hidden Valley Dips Mix, Fiesta Ranch, 1.1 Ounce (Pack of 24)",I love it,You have brought back a flood of memories with this dip mix!! I love it and everyone in my family and anyone else who has tasted it loves it! Why have the stores in Richmond VA pulled it from the shelves? I will buy this by the case if I could find it again!,680,607,78.0
41,1343,1344,__label1__,3,Y,Grocery,B00OAJYIGO,Alter Eco - Salted Caramel Truffle - 10 Pack,"he chocolates are rich in flavor, they sent me ...","he chocolates are rich in flavor, they sent me 2 times and both melted , The description read 10 packets and is only a bag of 10 candies . The price is too high .",681,582,26.0
42,1344,1345,__label1__,4,N,Grocery,B000E1FZJ6,"Planters Trail Mix, Tropical Fruit & Nut, 6-Ounce Bags (Pack of 12)",My favorite!,"I originally got this in a variety pack. This was, by far, my favorite! I love too! If you like a higher fruit to nut ratio then this one is for you! Cherry berry is yummy as well, and I go for that when I want more nuts.",681,631,93.0
43,1350,1351,__label1__,3,N,Grocery,B000E1DSL8,"Kraft Caramels, 11-Ounce Bags (Pack of 12)",best snacking,These are great little snacks. I love having these when I'm in the mood for something sweet. They aren't too big either so they can easily be carried in a purse or pocket. They are the best for snacking or making caramel apples!,681,573,106.0
44,1355,1356,__label1__,4,N,Grocery,B005K6ZLSK,"Nestle Chocolate Assorted Minis Bag, 40-Ounce",Loving this miniatures,"I have to say that I am trying to loose weight and following all kind of diets, but these miniatures are irresistible. I eat at least one bag per week (most of time: 2-3 bags). The're very well flavored and I love them. I do take natural supplements so I hope I will not get add additional weight because of these miniatures.",682,661,123.0
45,1367,1368,__label1__,1,N,Grocery,B00O41OKEI,ONE ORGANIC Matcha Green Tea Powder (250g) - USDA Certified Organic,One star - I am worried about lead contamination in matcha from China.,"Lead contamination of matcha is a real problem in China! I understand that lead has been entering the River Yangtze and East China Sea as a result of poor industrial waste disposal regulations and practices in China (Huh and Chen 1999). Water irrigations systems for farms obtain water from the River Yangtze! As a result the tea plants do get contaminated with lead. Even organic farms in China are at risk. In 2006 Han et al showed that 32% of 1225 tea samples from China contained lead at levels that exceed the maximum permissible concentration. In 2013 Consumer Lab dot com advised people not to consume matcha from China until you are sure about the purity of the matcha! The only way to be sure about the purity of the matcha is to see a lab report on the amount of lead in the matcha. Lead can damage any organ in the body including the brain, causing learning and behavioural problems and also problems with doing arithmetic or language problems.<br />I think it is important that a lab report on lead content of the matcha is uploaded on to Amazon by one organic as it is a matter of food safety. Until then I will not drink this matcha which clearly says on the back of the pack that it is a ""Product of China”. It is an important issue. Once I have seen the lab report on Amazon I will write what I thought about the appearance and taste of this matcha.<br /><br />It is useful to read ""SCALE AND CAUSES OF LEAD CONTAMINATION IN CHINESE TEA” and the Consumer Lab dot com article which you can find online. They are a real eye-opener!",661,299,4.0
46,1372,1373,__label1__,4,Y,Grocery,B00LFSOSRM,"All Natural Stevia Powder - No fillers, Additives or Artificial Ingredients of Any Kind - Highly Concentrated Stevia Extract Sugar Substitute (125g)",No fillers,My wife and I like the fact it is organic and has no fillers. We use it in our coffee and love it. Also great health benefits from stevia from what I have read.,682,621,89.0
47,1390,1391,__label1__,2,N,Grocery,B001E4S850,"Skippy Peanut Butter, Creamy, 16.3-Ounce Jars (Pack of 6)",Saturated fat,"This product has palm oil in it, and as far as ""vegetable"" oils are concerned its one of the worst oils around. Yes, I suppose the palm oil is natural, but it's a saturated fat and it's NOT healthy. It also has added sugar. Other brands might be a better choice for health conscious consumers as it has only two ingredients, peanuts and salt.",676,553,64.0
48,1437,1438,__label1__,4,N,Grocery,B004CGZGH0,"SweetGourmet Atomic Fireballs, Wrapped, 5lb",only for me,"I get this only for me because I can't exactly let my kids have some of this, can I? So now I have my own hidden treat for myself and the kids have their gummy bears and sour patches to keep them entertained.",676,490,13.0
49,1452,1453,__label1__,3,N,Grocery,B009324C0U,"Nutiva Organic Sugar, Coconut, 1 lb, 3 Count",Healthier option,"I may advocate for avoiding refined sugar and processed foods, but cutting out sweet things in life can be too much. Using this coconut sugar, I can still enjoy that rush from the delicious taste without feeling guilty that it might impede my progress.",682,588,56.0
50,1479,1480,__label1__,4,N,Grocery,B000EVOSE4,"Haribo Gummi Candy Gold-Bears, 5-Pound Bag",sugar rush!!!,I love gummi bears and Haribo is just the best! I use it for sugar rush while mountain climbing...or doing any other strenuous activity. I love the taste and the gumminess is incomparable!!!,681,600,73.0
51,1483,1484,__label1__,4,N,Grocery,B0087ALJ3M,"Maeda-En Matcha - Culinary Quality, 1-Ounce",It is a good product,"For culinary quality, it is not bad. I would not consider it ceremonial quality however, but that is not what is advertised. It is a tad bit expensive though.",680,426,16.0
52,1499,1500,__label1__,4,N,Grocery,B004I209RK,"Werther's Original Caramel Hard Candy, 34.0-Ounce Bags (Pack of 2)",A bit pricey here,"As I am eating daily these candies (even though they might have a lot of sugar and I am risking my diet), because they taste great. However, I found lower prices in other places.",682,657,179.0
53,1502,1503,__label1__,3,N,Grocery,B001RVAWY0,"Popchips Potato Chips, Original Flavor, 0.8oz (Pack of 24)",Not so good,Bought these thinking they would be good to eat and help me with my diet and all but I was wrong.  They don't taste good to me at all.  I actually put hot sauce on as I ate them.,682,654,93.0
54,1509,1510,__label1__,3,N,Grocery,B00KLJVYI2,"Paleo Wraps, Gluten Free Turmeric Wraps, 7-Count",nearly unbearable,"I could barely tolerate the taste and texture of these wraps and I'm usually a very tolerant person who can eat anything. Once, I ate an entire plate of pasta that was both burned and uncooked. I could not figure out how that happened, even now.",680,552,16.0
55,1510,1511,__label1__,4,N,Grocery,B0030VBRCG,"Happy Baby Organic Stage 2 Baby Food, Simple Combos, Broccoli, Pears & Peas, 4 Ounce, 8 count (Pack of 2)",Good for healthy,"My daughter had a problem getting my grandson to eat his veggies. At one of his checkups the doctor did a blood test. We were told his iron was low, because lack of veggies in his diet. I bought her some of the food products, he just loved them.",681,569,45.0
56,1522,1523,__label1__,3,N,Grocery,B001E5DZRU,"Great Lakes Select Honey, Clover, 32-Ounce Bottles (Pack of 3)",the easy cap it is so CUTE!!,I found that it is great on toasted gluten free bread. Also I can use it in recipes by substituting it for sugar. I love the easy cap it is so CUTE!! And it is well shipped without any damage.,682,625,186.0
57,1546,1547,__label1__,4,N,Grocery,B000ER3FD8,"Earth's Best Organic, Whole Grain Rice Cereal, 8 Ounce (Pack of 12)",great for my kids.,"i have been using earth's best organic whole grain rice cereal for my two kids and never saw any negative in it,they love it and this motivate me to buy it for them.",680,603,79.0
58,1556,1557,__label1__,3,N,Grocery,B001T6EXTS,"If You Care 100% Recycled Aluminum Foil Roll, 50 Foot Roll",far too thin,You can't use this aluminum foil for much of anything if you are wrapping something that has an edge. Find something smooth like a ball if you don't want to throw it away. Nice try with the recycled marketing though.,675,356,3.0
59,1564,1565,__label1__,3,N,Grocery,B001E5E0TW,"Melitta Coffee, European Roast Ground, Extra Dark Roast, 10.5-Ounce Cans (Pack of 4)",I would normally use,"I drink coffee all day & I usually have a full bodied coffee, but this did not meet my expectations. Although a nice flavor, it's too weak for my taste. I ended up using more coffee, per cup, than I would normally use.",681,570,45.0
60,1573,1574,__label1__,4,N,Grocery,B004LC6KV6,Gatorade Frost Glacier Freeze Powdered Drink Mix Net Wt 3bs 2oz (50.9 ounces),Great Product,Gatorade has always been our family's go-to thirst quencher. It is a real shame we can no longer get this product at our local store. Thank goodness for it is still available in the online store.,682,552,9.0
61,1583,1584,__label1__,1,N,Grocery,B0041NYV8E,"Gold Kili All Natural Instant Ginger & Lemon Beverage Mix, 6.72-Ounce Boxes (Pack of 6)",Medicinal Tasting,"I'm sorry, I just didn't like this. It tastes like medicine and nobody likes drinking medicine when they don't have too. The ginger tastes is way overpowering, almost like drinking gingersnap cookies and I don't mean that in a good way.",677,546,53.0
62,1590,1591,__label1__,2,N,Grocery,B0002PUB9S,Atkins Cuisine Penne Pasta -- 12 oz,Far too expensive,"Yes, these pasta's provided me with a good and proper taste. But their price is way to high for the quantity which can be found in one box. I was expecting a higher amount of pastas to be found inside. Considering the above mentioned statement, I cannot recommend them. Their taste is good, but not that excellent. I will stick with the common pastas.",682,644,51.0
63,1615,1616,__label1__,3,N,Grocery,B000PIX3AG,"Quaker Chewy Granola Bar, Chocolate Chip, Snack Bars, 8 Bars Per Box (Pack of 12 Boxes)(Packaging may vary)",its healthy product,"The perfect snack or last minute quick in between meals treat when you're out running around with a busy day. They do not contain High Fructose Corn Syrup, and also because they provide a healthy in between meals snack.",682,631,61.0
64,1655,1656,__label1__,4,N,Grocery,B000GCE2P6,"Johnson's Baby Powder, 1.5 oz",Product works well,"The powder is perfect, my only disappointment is that for the price I thought it would be a more in the package.",682,600,22.0
65,1666,1667,__label1__,4,N,Grocery,B00FYR5HS4,"Popchips Potato Chips 4 Flavor Variety Pack, 0.8 Ounce (Pack of 24)",Excellent Purchase,"I was so pleased to be able to buy this product in the larger size for not much more than I pay for the smaller size at the grocery store! The product is fresh and yummy! I was also amazed at the speed of delivery! I ordered them one day and the next day they were on my doorstep! Still can't figure that one out! But, THANKS! :)",681,638,63.0
66,1682,1683,__label1__,2,N,Grocery,B00CSPMB9I,"Qbubble Tea Taro Powder, 2.2 Pound",Qbubble is okay but really bad for you,"The taste is pretty okay, but obviously not as good as your boba store, but this is really bad for you. It has so much sugar and additives. Beware for your health if you order this product.",681,614,110.0
67,1692,1693,__label1__,2,Y,Grocery,B006N3I8FC,"Twinings Earl Grey Decaf Tea, Keurig K-Cups, 24 Count",Taste funny,They have a very strange aftertaste. I dont normaly drink tea but these really taste funny. My wife says they are ok but I still have 1/2 the box sitting in my kitchen for over a year now.,682,616,67.0
68,1727,1728,__label1__,3,Y,Grocery,B00KCJR890,"POWERADE ZERO Mixed Berry, 12 ct, 12 FL OZ Bottle",Ok but not something I would rave about.,It's ok.  Got it with subscribe and save but not planning on re-buying it.  May be okay taste to some but not to me.  At least my grand-kids will finish it off.,682,482,5.0
69,1730,1731,__label1__,3,Y,Grocery,B00HFMHGV2,White Peony Loose Leaf Tea 4 oz. + FREE Sweet Coconut Creme 2 oz,Overpaid for this one,"What can I say? I overpaid for this one. $25 was a little much, but I really wanted to try and see what these were all about. I must say that I was impressed, and hope that the price comes down. If under $20 this would be a great deal.",681,487,2.0
70,1731,1732,__label1__,4,N,Grocery,B007R6VOZU,"Milka Oreo Alpine Milk Chocolate, 3.5 oz Bar-Pack of 3",The supreme chocolate,"I love the entire Milka chocolate line, but this one is the best. Its taste is so good and unique that makes me dream of it all day long. The only thing that stops me from eating it continuously is the health issues that I have.<br />My only complaint is that it comes only in this size. during my last trip to Europe I found this chocolate packed in a larger pack.",682,664,198.0
71,1747,1748,__label1__,4,N,Grocery,B0027Z8VES,"Kicking Horse Coffee, Whole Bean, Kick Ass, 2.2 Pound",This poutch work sreally well,"I have tried all sorts of Coffee pouches and this one so far worked best, it keeps them well and I have no complaints, wasn't even going to review but then I figured it may help someone one so why not.",682,641,72.0
72,1762,1763,__label1__,4,N,Grocery,B004LL5O46,"Starbucks French Roast Whole Bean Coffee, 40 Ounce","If you like strong, this is the coffee for you","I buy this stuff whole bean all the time.  Makes very strong coffee.  I love it.  If you like strong, this is one for you.",678,534,42.0
73,1823,1824,__label1__,4,N,Grocery,B0042TVKZY,"Ferrero Rocher, Flat 48 Count",Love it,"This has always been my favorite chocolate. I always gift this during occasions. Love it, but it's starting to get pricey over time.",683,626,52.0
74,1832,1833,__label1__,4,N,Grocery,B004B9T82W,"Hershey's Nuggets Chocolates Assortment, 38.5 oz",Great variety,"The quality of the chocolate is the best. The variety was good as well for the one I picked. They're delicious and it's very hard for me to stay away from them (because I am dieting and, of course, they're not of much help in this situation).",682,666,181.0
75,1840,1841,__label1__,4,N,Grocery,B003TRL87U,"Lipton Recipe Secrets Soup and Dip Mix, Onion 2.0 oz (Pack of 6)",Onion!,"A lot of people I know don’t really appreciate the value of onions but I do and I love this, particularly for the advantage in taste!",681,589,12.0
76,1848,1849,__label1__,4,N,Grocery,B000WL39JQ,Hershey's Chocolate Full Size Variety Pack (30-Bar Box),I love the full size pack,"This seemed like a huge amount of candy at one delivery. However, I pass it along to my chocoholic friends at our social events.<br />Suggestion: During summer, don't forget to put a bar in the freezer for a couple hours before eating.",676,490,14.0
77,1886,1887,__label1__,2,N,Grocery,B001GVISJM,"TWIZZLERS Twists (Strawberry, 16-Ounce Bags, Pack of 6)",poor taste,I love eating them and they are good for watching TV and looking at movies! It is not too sweet. I like to transfer them to a zip lock baggie so they stay fresh so I can take my time eating them.,681,606,36.0
78,1891,1892,__label1__,4,N,Grocery,B0018AVV0O,"Werther's Sugar Free Hard Candies, Caramel Coffee, 2.75 Ounce Bags (Pack of 12)",Very yummy,These are yummy!! If you have to watch sugar these are great for a little something sweet. They are so much better then the sugar free hard candies I used to get years ago. If you didn't read the wrapper you would never know it was sugar free. Very good!!!,682,654,252.0
