,DOC_ID,LABEL,RATING,VERIFIED_PURCHASE,PRODUCT_CATEGORY,PRODUCT_ID,PRODUCT_TITLE,REVIEW_TITLE,REVIEW_TEXT
871,872,__label1__,4,N,Electronics,B00EGJMHEI,iFinity Wireless Audio Transmitter and Receiver Bundle - Black,Excellent wireless range,"I am streaming music from my basement to several rooms in my house. I have been looking for a solution that allows me to distribute music wirelessly. Some of the systems that I found from Logitech and Sonos were out of my budget. Also, Logitech stopped making their product. So I gave this transmitter a try. I am very pleased with the wireless range. I was a bit concerned given the small size of the transmitter unit. However, this set performed quite well in every scenario that I tried. I have located the receiver in all of my rooms and I am getting clean reception. What I like is that I can get addition receivers to place in multiple rooms. I don't know how many transmitters can be used at the same time but apparently they use a smart pairing feature that allows several transmitters to run within the same home. I don't really need the iPod cradle but this is a nice extra feature."
907,908,__label1__,4,N,Electronics,B0060B7NCG,BlueRigger High Speed Braided HDMI cable with Ethernet 6.6 Feet (2m) - Supports 3D and Audio return [Latest Version],buying an hdmi wire,Hdmi wires are hard to come across unless your in the market to buy junk. When I buy my hdmi wire I'm careful to inspect the cord and make sure the grade quality is standard.
914,915,__label1__,4,N,Electronics,B00005ATMD,Case Logic CD/DVDW-92 100 Capacity Classic CD/DVD Wallet (Black),It's HUGE that's why it's perfect,"i have had a number of cd cases and this is by far the best one i have bought. the binders have to be the best feature on this product, that and the 16 slots that are on the inside of the case as well. by the looks of the picture, you would never guess that this thing is HUGE."
957,958,__label1__,4,N,Electronics,B0035FJVHA,iHome  iP37BB 30-Pin iPod/iPhone Portable Speaker Case,Amusing,"Strangers in remote places always look at this device with awe whenever I bring it with me since they never really expect a speaker in the middle of nowhere. I have to say that the sound could be better, but what can you expect?"
966,967,__label1__,4,N,Electronics,B001GTTEBK,"Cheetah Mounts APTMSB Flat Screen TV Wall Mount Bracket Designed for 32""-55"" Plasma LED LCD TV (Actually Fits 20-55"" TVs) Includes Free 10' Braided High Speed HDMI Cable With Ethernet",Happy to purchase,"Nice range of motion--horizontal arc, foreword angle, TV rotation. Firm on the wall--three huge lag bolts that go into a wall stud, which you should be able to hit given range of motion."
1017,1018,__label1__,4,N,Electronics,B008AX7RFU,"MiiKey MiiSport Black Wireless Bluetooth 4.0  Headphone with Microphone ,Built-in MP3 player,Supports Micro SD ,Sweat-proof and HD Audio",Average product no bad not so good,"This was a gift for my daughter and so far they are meeting her needs. She is a college student and needed something that wouldn't break and was ""LOUD"". I checked them out when I visited her and they are pretty good for the price can't complain."
1023,1024,__label1__,4,N,Electronics,B00B7D4CS0,Philips DS3205 Charging Speaker Dock for iPhone 5/iPod with Lightning Dock,son loved it,I ought this for my son and he loved it. It's perfect for his not-too-big room and the sound quality is great. I can hear some decent bass too. Guess it's a steal!
1029,1030,__label1__,4,N,Electronics,B00HVVONP4,Apple EarPods 827 In-Ear Stereo Headphones with Remote and Mic - White,worth for money,"I am using this headphone for a month,it delivers good clarity.The bass quality is above average and treble dominates but it gives the quality sound worth for its price.so it is worth buying."
1031,1032,__label1__,1,N,Electronics,B00I9HC50O,Grace Digital GDI-BTAR512 100-Watt Digital Integrated Stereo Amplifier with Built-In AptX Bluetooth Wireless Receiver (Black),Annoying hissing,This amplifier seemed like the perfect solution for my problem. I wanted an integrated solution to stream music from my iPhone to a pair of floor-standing speakers wirelessly. My speakers do not have wireless and I did not like having a separate wireless receiver and amplifier. Since my phone supports Bluetooth I gave this amp a try.<br /><br />It worked as long as the distance between my phone and speakers was within 20 feet before cutting out. The build quality seems a bit cheap but for the price I guess that is what you get.<br /><br />The real bummer however was the fact that there is a constant hiss in the audio. I think this hiss is generated by the amplifier itself. If I turn down the volume the hiss goes down. If I turn it up the hiss comes back. This is very annoying since I otherwise would have liked this product. Unfortunately this constant white noise is driving me crazy. I have since returned this unit and purchased a similar product from another vendor.
1066,1067,__label1__,2,N,Electronics,B0049MM3GY,Mach Speed 8 GB Trio-T4300HD MP3 Media Player (Silver/Black),bad picture quality,I bought this for my adult daughter and was going to load it up with pictures and music. The music part was great but the display for the pictures was so bad that it was verually a waist of time. Looking at the engine of my Victory was just a blob of crome and black. No detail at all. Couldn't see any individual cooling fins.
1097,1098,__label1__,2,N,Electronics,B000SJ2TJ8,Cables4PC A12495 Gold Plated 6-Feet VGA/HD15/RGB to 3 RGB Component for TV/HDTV Cable,Just don't work,"I feel like the product was falsely advertised. Even if the cord works, it does not allow you to connect a computer to a TV.  Just don't work, from Video camera out put RCA to the Monitor."
1113,1114,__label1__,2,N,Electronics,B001TIG36C,"VideoSecu Mounts Tilt TV Wall Mount Bracket for Most 23""- 75"" Samsung, Sony, Vizio, LG, Sharp LCD LED Plasma TV with VESA 200x100 400x400 to 600x400mm, Bonus HDMI Cable and Bubble Level MF608B BBM",unclear instructions.,This product is not a good buy. The instructions are not clear and concise. I was not able to hang my TV with this product because of the unclear instructions. I would not recommend buying this product.
1127,1128,__label1__,3,N,Electronics,B000YN01X4,"Insten Universal World Wide Travel Charger Adapter Plug, White",adaptor,"The usage of the adapter is very straightforward: pick out the appropriate plug you need for your current location on the front of the adapter, then plug your unit into the correct jack on the back. It is a two way Adapter, allowing you to adapt in either direction. (From any country's standard to any other, for the standards supported by the unit.)"
1159,1160,__label1__,1,Y,Electronics,B00C2M72A0,Sabrent Weather Resistant 900MHz Wireless Indoor/Outdoor 150 Ft Stereo Speaker System with Remote and Dual Power Transmitter (SP-NELO),Not happy,"This was a gift I got for Christmas and worked for 7 months. Not real attractive, bulky. Disappointed in the product. I'm just glad I didn't spend the money."
1187,1188,__label1__,1,N,Electronics,B007X26T3A,Wolverine WIOS2 Wireless Indoor-Outdoor Stereo Speakers - Water Resistant - Black (Twin Speakers),Poor sound,The wireless connection of these speakers works pretty well but the sound quality is the big disappointment. Very tinny sound with lack of base. If I crank up the volume the plastic enclosure starts vibrating causing discoloration of the sound. I am now using regular bookshelf speakers instead.
1195,1196,__label1__,3,N,Electronics,B003C1AO2I,Sony HT-CT150 3D Sound Bar System (Discontinued by Manufacturer),OK for speaker / sub,"Got this for my birthday and overall sound quality id rate it about average.  It does a bit better than my 50"" lg that its hooked up to, but nothing earth shattering.<br /><br />Took a bit of playing around with the settings to get the sound right, and the sub provides a good bass if you turn it up.  If space is tight I would recommend this setup, but otherwise I would go for a better surround sound package."
1206,1207,__label1__,4,N,Electronics,B0038W0K2K,MEE audio Sport-Fi M6 Noise Isolating In-Ear Headphones with Memory Wire (Black),Overall it's Good!,"I have used this over 3 months now, it's working good and durable. The sound is awesome with a Bombastic Bass!"
1208,1209,__label1__,2,N,Electronics,B001EYU3L2,Sony MDRNC7/BLK Noise Canceling On-Ear headphones (Black),comfortable but sound's horrible,The quality is very poor. It's sturdy and comfortable but the sound is horrible. I bought these for my girlfriend for birthday so she could edit with and I didn't want to believe her when she said the didn't sound right. As soon as I hear the first song on them I said they were going back.
1219,1220,__label1__,4,N,Electronics,B00LG71NZ2,Apple iPod Touch 16 GB Blue (5th Generation) MP3 Player,Best iPhone to date,"I've had the phone almost 6 months now, and use it regularly every day, from gaming to messaging, email to music. Great battery life. Awesome display. Perfect weight. Perfect size. Incredibly thin. Awesome camera. It's a design compromise that I can live with, though."
1222,1223,__label1__,4,N,Electronics,B00EC4ZMHG,eneloop MQN10BLK 4-Position Ni-MH Rechargeable Battery Charger with LED Charge Indicators and Retractable AC Plug,Reliable,It charges batteries reliably and the batteries last as long as they did when I bought them. There's really nothing more to ask for than that.
1229,1230,__label1__,4,N,Electronics,B007R6HUEE,JAM Classic Bluetooth Wireless Speaker (Blueberry) HX-P230BL,Great sound quality,"Amazed by the performance. The sounds is fantastic and the set-up was remarkably easy. Sound is crisp clear and good bass. Despite being very pricey for a speaker of this size, it has proven to be a worthwhile purchase in the few days that I have had it. However, it lacks the surround sound feel. If you are looking for that, I will recommend the following as an alternative<br /><br />http://www.amazon.com/gp/product/B00CO07C5U/ref=as_li_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=B00CO07C5U&linkCode=as2&tag=derdigki-20"
1243,1244,__label1__,4,N,Electronics,B00CB2TT6Q,"Teenage Mutant Ninja Turtles Over-The-Ear Headphones with Volume Control, Ni-M40TM",>> Buy Only Because They Look Cool <<,Not a lot of quality in these headphones but that isn't the point. Make sure the kid you are buying them for wants them because they look really stink-in' cool!
1293,1294,__label1__,4,N,Electronics,B00A0C5FDA,Lutema Wavecube Aqua Portable Digital Speaker W/fm Radio - Red,Great classroom speaker.,I purchased one for my classroom to play music for my students. They enjoyed the speaker so much that I ended up purchasing more to raffle off for good behavior and good grades.
1301,1302,__label1__,4,N,Electronics,B005B51KMQ,Sudebake SB6051 Woode Tuabe wih AM/FM Radio,satisfied,"It functions well, but is what it is; an inexpensive record player. Don't expect high-quality stereo sound; it sounds like a portable record player. It is what I had expected when ordering and am satisfied with the purchase."
1323,1324,__label1__,1,N,Electronics,B00C402ZYS,"Bluetooth 5.25"" Indoor/Outdoor Weatherproof Patio Speakers (White- pair)-by Sound Appeal",Signal breaks up,I am streaming from my iPhone 6. I can only get 10 feet range. If I move the phone further away from the speakers the signal will drop out every few seconds.
1345,1346,__label1__,1,N,Electronics,B00KK4XU4Y,Replacement Battery for Cyber Power CP1500PFCLCD 12V 8Ah UPS Battery ( 2 pack) -,NOT A CYBERPOWER REPLACEMENT BATTERY,PLEASE NOTE - THIS IS NOT A CYBERPOWER REPLACEMENT BATTERY. USE OF THIS PRODUCT MAY NEGATIVELY AFFECT PRODUCT PERFORMANCE AND MANUFACTURER WARRANTY.
1362,1363,__label1__,1,N,Electronics,B00NJHOO12,"Bluetooth Speakers, Eachine Vivid Jar Portable Bluetooth Speaker with Lights, FM Radio, Compatible with iPhone, iPad, Samsung and More, Blue",Broke after a week,"This speaker seemed really cool at first because the light is a nice feature.  It didn't sound any better than the speakers in my HTC One, but the light made it a fun desk toy.  The problem is that it only worked for a week prior to breaking.  The manufacturer won't honor their warranty, saying that the retailer I bought it from wasn't &#34;authorized&#34; by them to sell it in their store."
1380,1381,__label1__,3,N,Electronics,B0001FTVEK,Sennheiser RS120 On-Ear Wireless RF Headphones with Charging Dock,user friendly,"I found it to be very user friendly, i just hate the fact that the very next day i ordered then they went on sale for half the price....that was very disappointing."
1462,1463,__label1__,4,N,Electronics,B005LKKNQA,Headset Buddy: PC Dual 3.5mm Headset to RJ9 / RJ10 / RJ22 Phone Adapter (PC35-RJ9A),Finally one that does not compromise volume,This is a good adaptor and it does not compromise volume at all. It does not have any ticks or issues that I have yet to notice. I am very pleased with the performance.
1504,1505,__label1__,4,N,Electronics,B0067KYOGI,Pyle Home PHIT84BK iPod/iPhone 2.1 Tower Docking Speaker System with FM Radio,Sound Tower Review,"In my opinion this is a good start to a system.<br /><br />This is fine for a bedroom or smaller sized living area. This will not replace your surround sound system. The wattage rating and speaker size reinforces this point. That being said, the quality of the tower is up to par.<br /><br />* Quality enclosure<br />* No assembly required<br />* iPod mates to tower<br />* Remote mates to iPod<br />* Secure line Jacks<br />* MP3 Aux-in Jack<br />* FM radio with 20 preset<br />* Composite video output<br /><br />These are all good working features and those without functional glitches.<br /><br />An area that could be improved:<br /><br />AM stations seem to be non-existent. Perhaps FM stations are only received.<br /><br />Overall:<br /><br />The tower is priced well and the quality of the audio is very good. We purchased the tower for our sons room and in that space the tower works well."
1505,1506,__label1__,2,N,Electronics,B00008VF5W,Coby CX49 Personal AM/FM Stereo Cassette Player (Discontinued by manufacturer),cheaply made,This product is so cheaply made it is unbelievable. The sound quality is terrible. When you insert a cassette be careful not to bend the pin that sticks out inside of the unit that fasten in the cassette. The radio will not even begin to pick up weak stations. My wife wants to keep it because it is portable.
1519,1520,__label1__,4,Y,Electronics,B008BY4GO8,iFinity Wireless Indoor/Outdoor Speaker - Bundle 1 Black,I love it. It's just what they say it is,"It is great outside by the pool. If forget to bring it in, it's ok cause it will not hurt the speaker."
1543,1544,__label1__,3,N,Electronics,B009EIUH6G,Logitech Harmony Touch Universal Remote with Color Touchscreen - Black (915-000198) [Discontinued by Manufacturer],like the original,"Its like it was never replaced. As good as the original, i am actually thinking of getting an extra just in case another room needs one."
1549,1550,__label1__,4,N,Electronics,B000MVJ1M0,Sony DEJ011 Portable Walkman CD Player (Discontinued by Manufacturer),Memories.,"OH MEMORY!!!!<br />I had this CD player during my teenage, this is a Christmas gift from my father. And I had spend much more time with it, and it's the best memory in my life. Thanks to SONY and the great artist!"
1550,1551,__label1__,4,N,Electronics,B0026SSAOM,GE 24769 Outdoor Electric Antenna for Digital HDTV Futura,A little flimsy,"Got this antenna yesterday and hooked it up right away. My first scan I got 32 channels. After a bit if adjustment, I got 40 channels. Great picture, great sound.I would have given it a five but I took off a star because the mounting bracket was not what was pictured. The bracket I got is very flimsy."
1553,1554,__label1__,2,N,Electronics,B000PCEFXQ,Sony MDRRF970RK Wireless Stereo Headphones (Discontinued by Manufacturer),it hissed and popped.,"The headsets never worked well at my computer, it hissed and popped. I waited a full day to let it charge, it died in the first few minutes. I may try another one; this may just be a fluke."
1571,1572,__label1__,3,N,Electronics,B00L3KSRTW,AmazonBasics Sport In-Ear Headphones,Super Cheap,they sound good and are super cheap.i use these when i sleep and they are still in perfect shape. sometimes when i wake up they arent in my ears anymore
1586,1587,__label1__,1,N,Electronics,B00C2M72A0,Sabrent Weather Resistant 900MHz Wireless Indoor/Outdoor 150 Ft Stereo Speaker System with Remote and Dual Power Transmitter (SP-NELO),Static,I didn't realize that these speakers work at 900 MHz until I opened the box. Unfortunately there is quite a lot of static on both speakers. The amount of static changes depending on where I position the speakers. I guess there are just too many gadgets out there these days that use this frequency band which makes it hard for these speakers to compete. I am going to have to get these exchanged for a model that is more robust.
1587,1588,__label1__,4,N,Electronics,B003O6PXS6,"NAXA Electronics Portable MP3/CD Player with Text Display, AM/FM Stereo, USB/SD/MMC Inputs",portable player,this player saved our family from going crazy . we moved into a new house and had to wait 10 days for cable. this was on 24-7 during that time. did a great job..sound is great .
1600,1601,__label1__,3,N,Electronics,B0071I3RWM,"Pyle PT798SBA 7.1 Channel Home Theater System with Satellite Speakers, Center Channel, Subwoofer and Bluetooth",disappointed to say the least,My hopes for this set have been dashed by the poor quality sound and the consistent interruptions with the connection. It is not a good buy at all.
1649,1650,__label1__,2,N,Electronics,B000VEP3XO,Rocketfish Universal Wireless Rear Speaker Kit RF-WHTIB-A,Hissing,There is a constant hissing noise overlapping the audio. I tried everything from changing the volume on the wireless unit and my HT receiver but the hissing persists. If the audio is fairly loud the hissing is less noticeable. However it is pretty obvious during silent passages. Definitely not as good as hard wiring the speakers.
1680,1681,__label1__,3,N,Electronics,B00063E2HS,"Snap-N-Store DVD Storage Boxes, 15.5 x 5.5 x 7.625 Inches, Black, 2 Boxes per Pack (SNS01618)",The box is sturdy and it looks handsome as well,"The box is sturdy and it looks handsome as well. However, the box tends to come apart easily that I have to glue them together, for real!"
1681,1682,__label1__,3,N,Electronics,B00B5A1E86,Neonz Slimz Headphones- 11449,amazing battery,"I've got 2 iPhones and several iPods in the family. Every car has a car charger and every room in the house has an AC charger. As everyone knows, no matter what you do to try and conserve battery life on the iPhone, you inevitably run out of power. Ever since I got the QCell, that problem no longer exists. The QCell is small enough to just throw in your backpack, briefcase, purse, etc and know that you are covered. The charge time to get the phone back to a ""worry-free"" level is quite impressive. Those marathon conference calls that seem to occur when you are away from a power source used to be an issue. The long airline flights where you are playing a game on the iPhone, and even though you are in airplane mode, the battery still doesn't last. Well, with the QCell, both those problems is solved. The led comes in handy too when you are in a bind. The laser pointer is nice too, but I don't think I will ever use it. There are plenty of miniscule laser pointers out there, that are more comfortable and convenient to use."
1717,1718,__label1__,3,N,Electronics,B00BN0N0LW,Sony MDRZX100 ZX Series Stereo Headphones (Blue),Its of a Good value,Its of a Good value with a decent(not great) sound outcome. If you want ridiculously great metallic sound quality irrespective of its price. Its not worth it go for sennhieser or skull candy.
1729,1730,__label1__,1,N,Electronics,B00H3JTT30,"Roker®Sound Cube Portable Wireless Bluetooth Stereo Speaker Built in Hands Free Speakerphone and Rechargable Battery,Clear and Crispy Sound Quality,Works With iPhone iPad iPod,Mp3 player,Tablet,Laptop,Computers And Any Bluetooth Enabled Device,Support 3.5mm Audio Cable Connection (Black)",Below average sound,"Below average sound quality, the sound was crackly and unclear even when directly next to the computer it was attached by Bluetooth.  Either in Bluetooth mode or  using the audio jack, the buzzing noise is very loud. I'm very disappointed with this product. I should have save more and get a something better."
1734,1735,__label1__,4,N,Electronics,B004E10JZW,Yamaha YSP2200 132-Watts RMS-Wireless 7.1 Digital Sound Projector(Black) (Discontinued by Manufacturer),Great Service,"I love it but the installation instructions need a lot of improvement. They are virtually non-existent. Still the sound is great, the profile is great and it does everything I wanted it to do and more."
1743,1744,__label1__,4,N,Electronics,B004RP2VNI,"eneloop AA with 4 Position Charger, 1800 cycle, Ni-MH Pre-Charged Rechargeable Batteries, 4 Pack (discontinued by manufacturer)",I am glad,I received my batteries in just a few days and charged them all. I tested them in my flashlights and they hold their charge just as expected. I tested them on a millimeter and the charge and quality were as I had hoped. I am glad I purchased these batteries and will purchase more soon!
1766,1767,__label1__,3,N,Electronics,B000MXWSY6,Sony ICF-C318 Clock Radio with Dual Alarm (Black) (Discontinued by Manufacturer),good but not loud enough,"It's a great clock esp with the radio feature, but not as loud as I thought it would be. I still need to set 5-6 alarms every morning to wake up, so it isn't really enough to do the job for a really heavy sleeper."
1779,1780,__label1__,2,N,Electronics,B0018DQYQ2,Generic HDMI 3-In 1-Out HDMI Auto Switch with 1.5 feet Cable,Do not work well with all devices,"The Blue Ray DVD has issues too where the switch sends it a signal that forces it to turn on even though I didn't turn it on. Although this device appears to work well for others, it is device dependant and may not work well with all your devices."
1789,1790,__label1__,1,Y,Electronics,B008OB2NHA,"Consumer Electronic Products Smartphone Headset to PC Adapter - Use a 3.5mm iPhone/Smartphone Headset With Your PC, Converts 3.5mm Plug to Dual Mic/Audio 3.5mm, for Skype/VOIP (01-PH35-PC35) Supply Store",Not Working!,The mic on my headset doesn't work on this item!So it just don't work properly!Defective item!I should read the other commends before buy this item!
1791,1792,__label1__,3,N,Electronics,B0002OZXGU,Apple iPod 40 GB White M9268LL/A (4th Generation)  (Discontinued by Manufacturer),Screen is very bright,"The Ipod is my constant companion. I have an extremely large and varied music collection, and am adding to it all the time. Battery life is much improved, screen is very bright. The touch-wheel on the new one seems a bit more sensitive. With the increased capacity I can load music at higher bit rates, 192kbs and above."
1799,1800,__label1__,3,N,Electronics,B0097BEFI6,Apple iPod Touch 16GB Black/Silver (5th Generation),Overpriced for what it does,"I got this iPod since my son wanted it for his birthday. It looks almost like my iPhone. However, I find that given the price I think there are a lot of cheaper alternatives out there. So I wouldn't buy it again."
1833,1834,__label1__,3,N,Electronics,B0080SE6H2,Ceptics Grounded Universal Plug Adapter for US (Type B) - 3 Pack,I'm glad I got the three pack,"I went on a vacation in Guam. It was a relief that I had already purchased these. The hotel had similar items, but they wanted to charge way too much for it. I'm glad I got the three pack. It was handy as I had several electronics to charge."
1845,1846,__label1__,3,N,Electronics,B002MAPT7U,SanDisk Sansa Clip+ 4 GB MP3 Player (Black) (Discontinued by Manufacturer),battery very fast,"The mp3 player is fine for what it is and at its price, but I encountered it to drain the battery very fast. As well as problems getting the computer to 'read' it to add songs. Then you have to convert songs into mp3 format to even transfer them onto the device for it to work."
1846,1847,__label1__,4,Y,Electronics,B00SK6TFIO,SunLabz® AA Rechargeable Batteries (4 Pack) Highest Performance NiMH 2800mAh,Good batteries,"These are good batteries, I like that they are rechargeable because I hate blowing money on new ones! They can get super expensive. These charged up quickly and worked in the items I used them in. I am not sure how long they will last, but I'll make notes and share more once they do die."
1858,1859,__label1__,4,N,Electronics,B008DB9OMI,Onkyo HT-S6500 5.1-Channel Network A/V Receiver/Speaker Package (Discontinued by Manufacturer),I love it,"Easy to set up, great sound for the price. Shipping was fast. I've had the system up and running for about two weeks and I love it. I added two rear speakers to have a surround setup. This is a very loud system for an apartment but you have several ways to control the bass output."
